Unnamed: 0,2024-07-31
OrdinarySharesNumber,4007000000.0
ShareIssued,4007000000.0
NetDebt,23454000000.0
TotalDebt,30962000000.0
TangibleBookValue,-24422000000.0
InvestedCapital,76419000000.0
WorkingCapital,-3722000000.0
NetTangibleAssets,-24422000000.0
CommonStockEquity,45457000000.0
TotalCapitalization,65078000000.0
TotalEquityGrossMinorityInterest,45457000000.0
StockholdersEquity,45457000000.0
GainsLossesNotAffectingRetainedEarnings,-1430000000.0
OtherEquityAdjustments,-1430000000.0
RetainedEarnings,1087000000.0
CapitalStock,45800000000.0
CommonStock,45800000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,78956000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,38372000000.0
OtherNonCurrentLiabilities,2540000000.0
TradeandOtherPayablesNonCurrent,3985000000.0
NonCurrentDeferredLiabilities,12226000000.0
NonCurrentDeferredRevenue,12226000000.0
LongTermDebtAndCapitalLeaseObligation,19621000000.0
LongTermDebt,19621000000.0
CurrentLiabilities,40584000000.0
OtherCurrentLiabilities,5643000000.0
CurrentDeferredLiabilities,16249000000.0
CurrentDeferredRevenue,16249000000.0
CurrentDebtAndCapitalLeaseObligation,11341000000.0
CurrentDebt,11341000000.0
OtherCurrentBorrowings,488000000.0
CommercialPaper,10853000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,3608000000.0
PayablesAndAccruedExpenses,3743000000.0
Payables,3743000000.0
TotalTaxPayable,1439000000.0
IncomeTaxPayable,1439000000.0
AccountsPayable,2304000000.0
TotalAssets,124413000000.0
TotalNonCurrentAssets,87551000000.0
OtherNonCurrentAssets,5944000000.0
NonCurrentDeferredAssets,6262000000.0
NonCurrentDeferredTaxesAssets,6262000000.0
NonCurrentNoteReceivables,2737000000.0
NonCurrentAccountsReceivable,639000000.0
GoodwillAndOtherIntangibleAssets,69879000000.0
OtherIntangibleAssets,11219000000.0
Goodwill,58660000000.0
NetPPE,2090000000.0
AccumulatedDepreciation,-7783000000.0
GrossPPE,9873000000.0
OtherProperties,115000000.0
MachineryFurnitureEquipment,5511000000.0
Properties,4247000000.0
CurrentAssets,36862000000.0
OtherCurrentAssets,5612000000.0
Inventory,3373000000.0
OtherInventories,8000000.0
FinishedGoods,1027000000.0
WorkInProcess,83000000.0
RawMaterials,2255000000.0
Receivables,10023000000.0
OtherReceivables,267000000.0
LoansReceivable,3071000000.0
AccountsReceivable,6685000000.0
AllowanceForDoubtfulAccountsReceivable,-87000000.0
GrossAccountsReceivable,6772000000.0
CashCashEquivalentsAndShortTermInvestments,17854000000.0
OtherShortTermInvestments,10346000000.0
CashAndCashEquivalents,7508000000.0
FreeCashFlow,10210000000.0
RepurchaseOfCapitalStock,-6779000000.0
RepaymentOfDebt,-12966000000.0
IssuanceOfDebt,31818000000.0
IssuanceOfCapitalStock,714000000.0
CapitalExpenditure,-670000000.0
InterestPaidSupplementalData,583000000.0
IncomeTaxPaidSupplementalData,7426000000.0
EndCashPosition,8842000000.0
BeginningCashPosition,11627000000.0
EffectOfExchangeRateChanges,-31000000.0
ChangesInCash,-2754000000.0
FinancingCashFlow,6844000000.0
CashFlowFromContinuingFinancingActivities,6844000000.0
NetOtherFinancingCharges,-37000000.0
CashDividendsPaid,-6384000000.0
CommonStockDividendPaid,-6384000000.0
NetCommonStockIssuance,-6065000000.0
CommonStockPayments,-6779000000.0
CommonStockIssuance,714000000.0
NetIssuancePaymentsOfDebt,19330000000.0
NetShortTermDebtIssuance,478000000.0
NetLongTermDebtIssuance,18852000000.0
LongTermDebtPayments,-12966000000.0
LongTermDebtIssuance,31818000000.0
InvestingCashFlow,-20478000000.0
CashFlowFromContinuingInvestingActivities,-20478000000.0
NetOtherInvestingChanges,-5000000.0
NetInvestmentPurchaseAndSale,6191000000.0
SaleOfInvestment,10705000000.0
PurchaseOfInvestment,-4514000000.0
NetBusinessPurchaseAndSale,-25994000000.0
SaleOfBusiness,
PurchaseOfBusiness,-25994000000.0
NetPPEPurchaseAndSale,-670000000.0
SaleOfPPE,
PurchaseOfPPE,-670000000.0
OperatingCashFlow,10880000000.0
CashFlowFromContinuingOperatingActivities,10880000000.0
ChangeInWorkingCapital,-4298000000.0
ChangeInOtherWorkingCapital,-3319000000.0
ChangeInOtherCurrentLiabilities,416000000.0
ChangeInOtherCurrentAssets,-671000000.0
ChangeInPayablesAndAccruedExpense,-786000000.0
ChangeInAccruedExpense,-696000000.0
ChangeInPayable,-90000000.0
ChangeInAccountPayable,-90000000.0
ChangeInTaxPayable,
ChangeInIncomeTaxPayable,
ChangeInInventory,275000000.0
ChangeInReceivables,-213000000.0
ChangesInAccountReceivables,-289000000.0
StockBasedCompensation,3074000000.0
ProvisionandWriteOffofAssets,34000000.0
DeferredTax,-972000000.0
DeferredIncomeTax,-972000000.0
DepreciationAmortizationDepletion,2507000000.0
DepreciationAndAmortization,2507000000.0
Depreciation,2507000000.0
OperatingGainsLosses,215000000.0
GainLossOnInvestmentSecurities,
GainLossOnSaleOfBusiness,215000000.0
NetIncomeFromContinuingOperations,10320000000.0
TaxEffectOfUnusualItems,-148980000.0
TaxRateForCalcs,0.156
NormalizedEBITDA,16702000000.0
TotalUnusualItems,-955000000.0
TotalUnusualItemsExcludingGoodwill,-955000000.0
NetIncomeFromContinuingOperationNetMinorityInterest,10320000000.0
ReconciledDepreciation,2507000000.0
ReconciledCostOfRevenue,17166000000.0
EBITDA,15747000000.0
EBIT,13240000000.0
NetInterestIncome,359000000.0
InterestExpense,1006000000.0
InterestIncome,1365000000.0
NormalizedIncome,11126020000.0
NetIncomeFromContinuingAndDiscontinuedOperation,10320000000.0
TotalExpenses,40833000000.0
TotalOperatingIncomeAsReported,12181000000.0
DilutedAverageShares,4062000000.0
BasicAverageShares,4043000000.0
DilutedEPS,2.54
BasicEPS,2.55
DilutedNIAvailtoComStockholders,10320000000.0
NetIncomeCommonStockholders,10320000000.0
NetIncome,10320000000.0
NetIncomeIncludingNoncontrollingInterests,10320000000.0
NetIncomeContinuousOperations,10320000000.0
TaxProvision,1914000000.0
PretaxIncome,12234000000.0
OtherIncomeExpense,-1095000000.0
OtherNonOperatingIncomeExpenses,-140000000.0
SpecialIncomeCharges,-789000000.0
RestructuringAndMergernAcquisition,789000000.0
GainOnSaleOfSecurity,-166000000.0
NetNonOperatingInterestIncomeExpense,359000000.0
InterestExpenseNonOperating,1006000000.0
InterestIncomeNonOperating,1365000000.0
OperatingIncome,12970000000.0
OperatingExpense,21858000000.0
DepreciationAmortizationDepletionIncomeStatement,698000000.0
DepreciationAndAmortizationInIncomeStatement,698000000.0
Amortization,698000000.0
AmortizationOfIntangiblesIncomeStatement,698000000.0
ResearchAndDevelopment,7983000000.0
SellingGeneralAndAdministration,13177000000.0
SellingAndMarketingExpense,10364000000.0
GeneralAndAdministrativeExpense,2813000000.0
OtherGandA,2813000000.0
GrossProfit,34828000000.0
CostOfRevenue,18975000000.0
TotalRevenue,53803000000.0
OperatingRevenue,53803000000.0
